May 16, 2022

total: 20569

weeks	count

4		1216
5		1388
6		1474
7		1494
8		1345
9		1262
10		1089
11		1065
12		1009
13		931
14		743
15		686
16		592
17		512
18		512
19		539
20		515
21		224
22		182
23		146
24		115
25		80
26		70
27		48
28		31
29		26
30		23
31		22
32		9
33		11
34		11
35		10
36		5
37		5
38		6
39		9
40		6
41		6
42		3
43		6
45		2
46		1
47		2
48		1
50		1
51		1
52		2
53		1
54		1
59		1
61		1
64		1

Average weeks on chart: 9.920483585610379


November 29, 2023

total: 20330

weeks	count

1		664
2		1113
3		1153
4		1224
5		1413
6		1466
7		1481
8		1353
9		1255
10		1104
11		1064
12		1009
13		927
14		727
15		686
16		599
17		503
18		521
19		541
20		480
21		219
22		182
23		142
24		108
25		88
26		66
27		41
28		31
29		24
30		24
31		21
32		9
33		12
34		11
35		10
36		3
37		7
38		8
39		7
40		6
41		5
42		4
43		4
45		2
46		1
47		2
48		1
50		1
51		1
52		3
54		1
59		1
61		1
64		1

Average weeks on chart: 9.871323167732415


January 17, 2024

total: 20307

weeks	count

1		673
2		1120
3		1169
4		1218
5		1430
6		1469
7		1486
8		1355
9		1242
10		1118
11		1064
12		1001
13		935
14		715
15		679
16		599
17		510
18		518
19		524
20		470
21		208
22		175
23		146
24		102
25		85
26		59
27		42
28		30
29		25
30		21
31		20
32		9
33		14
34		9
35		10
36		2
37		7
38		9
39		6
40		6
41		6
42		3
43		3
44		1
45		1
46		2
47		2
50		1
51		1
52		3
54		1
58		1
61		1
64		1

Average weeks on chart: 9.814891416752843


March 05, 2024

total: 20285

weeks	count

1		684
2		1114
3		1173
4		1232
5		1454
6		1478
7		1477
8		1351
9		1262
10		1103
11		1060
12		1006
13		928
14		720
15		666
16		604
17		497
18		522
19		520
20		440
21		212
22		177
23		133
24		100
25		87
26		55
27		41
28		29
29		24
30		21
31		19
32		7
33		13
34		12
35		7
36		2
37		8
38		9
39		6
40		5
41		6
42		3
43		3
44		1
45		1
46		2
47		2
49		1
51		2
52		2
54		1
58		1
60		1
64		1

Average weeks on chart: 9.763273354695588
