On The Road Again|Canned Heat
Batman Theme|Neal Hefti
That Was Then But This Is Now|ABC
Supernatural Love|Donna Summer
America/Standing/Because I Love You|The Five Stairsteps
Beautiful|Gordon Lightfoot
One Kiss For Old Times' Sake|Ronnie Dove
Runnin' With The Devil|Van Halen
You Gave Me A Mountain|Frankie Laine
If We Try|Don McLean
Insult To Injury|Timi Yuro
I'll Do It For You|Toussaint McCall
Grandma's Hands|Bill Withers
Let Me Start Tonite|Lamont Dozier
Ship To Shore|Chris de Burgh
My Way|Frank Sinatra
Another Star|Stevie Wonder
Don't You Know What Love Is|Touch
She's In Love With You|Suzi Quatro
The Son Of Rebel Rouser|Duane Eddy
Someone|El DeBarge
A Rock 'N' Roll Fantasy|The Kinks
Theme From Raging Bull (Cavalleria Rusticana)|Joel Diamond
Can't Buy Me Love|The Beatles
Hole In The Wall|The Packers
Paloma Blanca|George Baker Selection
Chirpy Chirpy  Cheep Cheep|Lally Stott
Angel|Rod Stewart
Things Just Ain't The Same|Deborah Cox
There It Is (Part 1)|James Brown
You Are My Everything|Surface
Elenore|The Turtles
Cinderella|The Four Preps
Where Am I Going?|Barbra Streisand
Close The Door|Teddy Pendergrass
So What|Bill Black's Combo
Somebody To Love|Queen
The Revolution Kind|Sonny
A Letter From Betty|Bobby Vee
Oh  Rock My Soul (Part I)|Peter  Paul & Mary
You Can't Lie To A Liar|Ketty Lester
You Got Me Hummin|Cold Blood
Big Fun|Kool & The Gang
Give Me...A Reason|Buffy
Silent Night|Bing Crosby
I Worry About You|Joe Simon
Pledging My Love|Johnny Tillotson
She Loves You|The Beatles
-twistin'-White Silver Sands|Bill Black's Combo
The Look Of Love|Dusty Springfield
Shortnin' Bread|The Bell Notes
A Steel Guitar And A Glass Of Wine|Paul Anka
Dear God|Midge Ure
Celebration|Tommy James
Circles|The New Seekers
Save Up All Your Tears|Cher
Snap Your Fingers|Joe Henderson
Guess Who|Jesse Belvin
Tie Me Kangaroo Down  Sport|Rolf Harris
Wildside|Marky Mark & The Funky Bunch
You Gotta Love Someone|Elton John
(I Cried at) Laura's Wedding|Barbara Lynn
Do You Wanna Dance?|The Beach Boys
Out Of My Mind|Johnny Tillotson
Night Train|Richard Hayman And His Orchestra
That's What Love Is Made Of|The Miracles
Special Delivery|1910 Fruitgum Co.
Hard Luck Woman|KISS
Long Time To Be Alone|The New Colony Six
Girls Are Out To Get You|The Fascinations
Stay Forever|Joey Lawrence
Popsicle|Jan & Dean
Paying The Price Of Love|Bee Gees
Cry|Ray Charles
Why You Wanna Try Me|Commodores
The Dawn Of Correction|The Spokesmen
Ruffneck|MC Lyte
The First Thing Ev'ry Morning (And The Last Thing Ev'ry Night)|Jimmy Dean
You Walked In|Lonestar
Wonderland|Commodores
Ode To Billy Joe - Main Title|Bobbie Gentry
Beach Time|Roger Smith
Cindy's Gonna Cry|Johnny Crawford
On And Off (Part 1)|Anacostia
Unchained Melody|The Sweet Inspirations
You|Candlebox
Tonight I Won't Be There|Adam Wade
Chim  Chim  Cheree|The New Christy Minstrels
You've Been Cheatin'|The Impressions
Kokomo|The Flamingos
Your Own Special Way|Genesis
Here Comes The Night|Ben E. King
Good Lovin'|The Young Rascals
Run Tell The People|Daniel Boone
Chip Away The Stone|Aerosmith
I Feel The Earth Move|Martika
Let's Go Steady Again|Neil Sedaka
I Fought The Law|Bobby Fuller Four
You Can't Be True  Dear|Patti Page
You're The Reason|Joe South
There's A Kind Of Hush (All Over The World)|Carpenters
Sweet Dreams|Tommy McLain
Come Go With Me|Dion
Girl Can't Help It|Journey
You Don't Know What You Mean To Me|Sam & Dave
El Pussy Cat|Mongo Santamaria
Life Goes On|Poison
Hawaiian War Chant|Billy Vaughn And His Orchestra
From The Bottom Of My Heart (I Love You)|The Moody Blues
Twilight|Electric Light Orchestra
My Soul's Got A Hole In It|Howard Tate
Makin' The Best Of A Bad Situation|Dick Feller
Peace|The McGuire Sisters
Fly Little White Dove Fly|The Bells
Pictures In The Fire|Pat Boone
Married Man|Richard Burton
Dance With You|Carrie Lucas
Share Your Love With Me|Aretha Franklin
Talk To Me Baby|Annette With The Afterbeats
Come Back|Jimmy Clanton
8th Wonder|Sugarhill Gang
Poco-Loco|Gene & Eunice
Danny Boy|Ray Price
I Don't Need No Doctor|Humble Pie
Dammit Isn't God's Last Name|Frankie Laine
Another You  Another Me|Brady Seals
The Last One To Know|The Fleetwoods
Somebody To Love|Jefferson Airplane
Dreamin'|Johnny Burnette
Your Love Is So Divine|Miranda
One Day In Your Life|Michael Jackson
Make It Mean Something|Rob Jungklas
Like The Big Guys Do|The Rocky Fellers
Your Time To Cry|Joe Simon
Divided Hearts|Kim Carnes
Dance With Mr. Domino|Fats Domino
Cafe Amore|Spyro Gyra
Ride A White Swan|Tyrannosaurus Rex
Your Heart Belongs To Me|The Supremes
Uncle John's Band|The Grateful Dead
Love Will Conquer All|Lionel Richie
It's All Right (You're Just In Love)|The Tams
I Wanna Be Loved|House Of Lords
Sweet Seasons|Carole King
Dancing Bear|The Mamas & The Papas
School Is In|Gary U.S. Bonds
Requiem For The Masses|The Association
I Want To Love You For What You Are|Ronnie Dove
Valley Girl|Frank Zappa
Take Me I'm Yours|Michael Henderson
Beat Of A Heart|Scandal Featuring Patty Smyth
Grasshopper|Spin
Fakin' It|Simon & Garfunkel
Heartbreak Hill|Fats Domino
Come Together/Something|The Beatles
Never Can Say Goodbye|Isaac Hayes
I'm Not Perfect (But I'm Perfect For You)|Grace Jones
Up On The Roof|The Cryan' Shames
Michael - Pt. 1|Steve Alaimo
I Like It Like That  Part 1|Chris Kenner
Karma Chameleon|Culture Club
Gotta Get Mine|M.C. Breed
The Fool On The Hill|Sergio Mendes & Brasil '66
Dance Away|Roxy Music
Come Go With Me|Pockets
Amazed|Lonestar
Lisa|Jeanne Black
Hush  Hush  Sweet Charlotte|Patti Page
Wear Your Love Like Heaven|Donovan
That Old Feeling|Kitty Kallen
Never Let Me Down Again|Depeche Mode
You've Been My Inspiration|The Main Ingredient
Amber Cascades|America
Pretty Blue Eyes|Steve Lawrence
All These Things|The Uniques
Mama Didn't Lie|Jan Bradley
Church Street Soul Revival|Tommy James
Take Me In Your Arms And Love Me|Gladys Knight And The Pips
(The Clickity Clack Song) Four Little Heels|Brian Hyland
Almost Saturday Night|John Fogerty
Ain't That A Groove (Part 1)|James Brown And The Famous Flames
Comin' Down Tonight|Thirty Eight Special
Everything Works If You Let It|Cheap Trick
Bad Girl|Neil Sedaka
Lady Down On Love|Alabama
Theme From The Wild Angels|Davie Allan And The Arrows
Charlie Brown|The Coasters
Ain't Nothing Like The Real Thing|Donny & Marie Osmond
I Struck It Rich|Len Barry
Blues Power|Eric Clapton And His Band
Walk In The Night|Jr. Walker & The All Stars
Shine Shine|Barry Gibb
Terms Of Endearment|Michael Gore
Goodbye Charlie|Patti Page
See You When I Git There|Lou Rawls
Your Side Of The Bed|Mac Davis
How 'Bout Us (From True Love)|Grayson Hugh & Betty Wright
Wrap My Body Tight|Johnny Gill
I Ain't Never|The Four Preps
I Don't Wanna See You|Michael Morales
Mama  Weer All Crazee Now|Quiet Riot
I Left My Heart In The Balcony|Linda Scott
Freddie Feelgood (And His Funky Little Five Piece Band)|Ray Stevens
Smoke! Smoke! Smoke! (That Cigarette)|Commander Cody
Baby Step Back|Gordon Lightfoot
Too Late To Worry - Too Blue To Cry|Glen Campbell
What Becomes Of The Brokenhearted|Jimmy Ruffin
Thunder And Lightning|Chicago
I Get Lifted|George McCrae
Air Travel|Ray And Bob
California My Way|The Main Ingredient
The Mexican Shuffle|Herb Alpert's Tijuana Brass
Bringin' On The Heartbreak|Def Leppard
This Is The Way We Roll|M.C. Hammer
I Melt With You|Modern English
The Beginning Of Loneliness|Dionne Warwick
I Hear You Now|Jon & Vangelis
How Can I Forget You|Elisa Fiorillo
Penny Arcade|The Cyrkle
Laura (Tell Me What He's Got That I Ain't Got)|Brook Benton
What Kind Of Fool Am I?|Robert Goulet
Take A Bow|Madonna
Disco 9000|Johnnie Taylor
If Anyone Falls|Stevie Nicks
He Can't Love U|Jagged Edge
Try A Little Tenderness|Aretha Franklin
Where Did Our Love Go|The Supremes
Mr. Lonely|Bobby Vinton
Love Of My Life|Sammy Kershaw
This Girl Is A Woman Now|Gary Puckett And The Union Gap
Does He Really Care For Me|Ruby And The Romantics
Tonite|DJ Quik
I Don't Like Mondays|The Boomtown Rats
Ramrod|Duane Eddy His Twangy Guitar And The Rebels
Method Man|Wu-Tang Clan
Dancing To Your Music|Archie Bell & The Drells
You're All I Need To Get By|Johnny Mathis & Deniece Williams
He's So Fine|Kristy And Jimmy McNichol
Need Your Love|Big Bub Featuring Queen Latifah & Heavy D
Party Ain't A Party|Queen Pen Featuring Teddy Riley  Nutta Butta  Markell & Jesse Wes
Jealous Love|Wilson Pickett
It's All I Can Do|The Cars
Alice's Rock & Roll Restaurant|Arlo Guthrie
I've Just Begun To Love You|Dynasty
Ain't That Peculiar|Fanny
Cinderella|Paul Anka
I Love You Madly|Fantastic Four
River Deep - Mountain High|The Supremes & Four Tops
Silver Bird|Mark Lindsay
March Of The Siamese Children|Kenny Ball and his Jazzmen
Go For Soda|Kim Mitchell
Laugh At Me|Sonny
Sex Crime (Nineteen Eighty-Four)|Eurythmics
Revival|Johnny And The Hurricanes
I Didn't Want To Need You|Heart
Dog Days|Atlanta Rhythm Section
Tenderness|General Public
Louie  Louie|Fat Boys
Frozen|Madonna
You've Got The Power|The Esquires
Waiting Game|Swing Out Sister
Makin' Love|Climax Blues Band
I Wanna Learn A Love Song|Harry Chapin
I Could Have Loved You So Well|Ray Peterson
Try Me  I Know We Can Make It|Donna Summer
She's Mine|Conway Twitty
Saw A New Morning|Bee Gees
Fly By Night|Andy Williams
Undercover Of The Night|The Rolling Stones
Through The Storm|Aretha Franklin & Elton John
A Stranger In Your Town|The Shacklefords
Abilene|George Hamilton IV
Taboo|Arthur Lyman
Blame It On The Bossa Nova|Eydie Gorme
I Can Love You Better|Dixie Chicks
Good Times (From The Lost Boys)|INXS & Jimmy Barnes
Falling Out Of Love|Ivan Neville
Breakwater|Lawrence Welk And His Orchestra
Boogaloo Down Broadway|The Fantastic Johnny C
California Nights|Sweet
500 Miles Away From Home|Bobby Bare
World (Part 1)|James Brown
Give Me The Reason|Luther Vandross
There Goes My Baby|Trisha Yearwood
Only The Strong Survive|Jerry Butler
Hey Little Lucy! (Don'tcha Put No Lipstick On)|Conway Twitty
A Lover's Concerto|Mrs. Miller
Cuts Like A Knife|Bryan Adams
Dear Delilah|Grapefruit
Hurts So Good|John Cougar
Don't Say You Love Me|Billy Squier
All I Really Want To Do|Cher
Moon Over Naples|Bert Kaempfert And His Orchestra
The Night They Drove Old Dixie Down|Joan Baez
Full Term Love (From Class Act)|Monie Love
No Love At All|B.J. Thomas
My Heart Is Calling (From The Preacher's Wife)|Whitney Houston
What It Is|The Undisputed Truth
Groovy Situation|Gene Chandler
Mambo No. 5 (A Little Bit Of...)|Lou Bega
Slow Motion (Part 1)|Johnny Williams
Gee Baby|Peter Shelley
The Long Way Home|Neil Diamond
Anything|Eric Burdon & The Animals
Love (Makes Me Do Foolish Things)|Martha & The Vandellas
I Just Can't Say Goodbye|Bobby Rydell
She Shot A Hole In My Soul|Clifford Curry
I Don't Want To Be Hurt Anymore|Nat King Cole
Tenderly|Bert Kaempfert And His Orchestra
Gitty Up|Salt-N-Pepa
(How Can I Write On Paper) What I Feel In My Heart|Jim Reeves
Rainy Day Women #12 & 35|Bob Dylan
My Boy Lollipop|Millie Small
What Love Is|Marty Balin
Lizzie Borden|The Chad Mitchell Trio
Captain Save A Hoe|E-40
Help Me Make It Through The Night|O.C. Smith
Nightingale|Carole King
Hey Now (Girls Just Want To Have Fun)|Cyndi Lauper
One Light Two Lights|The Satisfactions
Come On|Barry White
(one More Year Of) Daddy's Little Girl|Ray Sawyer
Rocky II Disco|Maynard Ferguson
Side By Side|Earth  Wind & Fire
Put It In A Magazine|Sonny Charles
Hyperactive|Robert Palmer
Loving You More Every Day|Etta James
Little Arrows|Leapy Lee
Erotica|Madonna
It's A Miracle|Culture Club
You|Bonnie Raitt
Don't You Worry 'Bout A Thing|Stevie Wonder
Sunday Mornin'|Spanky And Our Gang
Stranger In My Mirror|Randy Travis
Sugar Free|Wa Wa Nee
Telegram Sam|T. Rex
The Hula Hoop Song|Georgia Gibbs
What's A Matter Baby|Ellen Foley
Walking On Thin Ice|Yoko Ono
Too Much|Tara Kemp
I Got Some Help I Don't Need|B.B. King
Nearer To You|Betty Harris
Sweet Caroline (Good Times Never Seemed So Good)|Neil Diamond
Good Golly Miss Molly|The Swinging Blue Jeans
Let Me Go The Right Way|The Supremes
Take Me Back|Little Anthony And The Imperials
Stagger Lee|Tommy Roe
After All|Al Jarreau
Frederick|Patti Smith Group
The Wreck Of The John B|Jimmie Rodgers
What They Do|The Roots
In My Heart|The Timetones
My Heart Just Keeps On Breakin'|The Chi-lites
You Won't See Me Cry|Wilson Phillips
Love's Got A Line On You|Scandal Featuring Patty Smyth
Jolé Blon|Gary U.S. Bonds
Somewhere In The Night|Batdorf & Rodney
Ten Little Indians|The Yardbirds
Nice 'N' Naasty|The Salsoul Orchestra
But On The Other Hand Baby|Ray Charles and his Orchestra
Don't Go Home|The Playmates
True Love|Richard Chamberlain
I Understand (Just How You Feel)|Freddie And The Dreamers
Solution For Pollution|Charles Wright And The Watts 103rd Street Rhythm Band
Nothing 'Bout Me|Sting
No Frills Love|Jennifer Holliday
Human Nature|Michael Jackson
The Fly|U2
Let's Try It Again|New Kids On The Block
Lady Luck|Lloyd Price and His Orchestra
Let's Fall In Love|Peaches & Herb
My Boo|Ghost Town DJ's
If I Didn't Care|The Platters
What You Won't Do For Love|Bobby Caldwell
Teen Angel|Wednesday
Fire & Rain|R.B. Greaves
Magic Man|Herb Alpert
Keep On  Keepin' On (From Sunset Park)|MC Lyte Featuring Xscape
Help Wanted|The Hudson Brothers
Rebel-'rouser|Duane Eddy His Twangy Guitar And The Rebels
I Don't Wanna Lose You Baby|Chad & Jeremy
I Feel Fine|The Beatles
Detroit City No. 2|Ben Colder
Super Highway|Ballin' Jack
Imagine That|Patsy Cline
Friends/Five Minutes Of Funk|Whodini
Lucky|Greg Kihn
I'll Never Do You Wrong|Joe Tex
My Real Name|Fats Domino
Do It Again|The Beach Boys
Days Of Wine And Roses|Andy Williams
Dusic|Brick
I'm Afraid To Go Home|Brian Hyland
Feels So Real (Won't Let Go)|Patrice Rushen
Love Hangover|Diana Ross
I Idolize You|Ike & Tina Turner
Way Down Yonder In New Orleans|Freddie Cannon
Saturday Nite|Earth  Wind & Fire
Baby You Come Rollin' Across My Mind|The Peppermint Trolley Company
Constant Rain (Chove Chuva)|Sergio Mendes & Brasil '66
Give Me Tonight|Shannon
Holly Holy|Jr. Walker & The All Stars
A Day In The Life Of A Fool|Jack Jones
Love's Made A Fool Of You|Cochise
Just Ain't Enough Love|Eddie Holland
Can I Change My Mind|Tyrone Davis
My Angel Baby|Toby Beau
Hey Girl Don't Bother Me|The Tams
Mairzy Doats|The Innocence
I Cried|Joe Damiano
That Song Is Driving Me Crazy|Tom T. Hall
Look Over Your Shoulder|The O'Jays
Slim Jenkin's Place|Booker T. & The MG's
Mammas Don't Let Your Babies Grow Up To Be Cowboys|Waylon & Willie
Until It's Time For You To Go|Neil Diamond
Shanghai Breezes|John Denver
Billy - Don't Be A Hero|Paper Lace
Down To The Station|B.W. Stevenson
This Time It's Real|Tower Of Power
Mountain Of Love|Harold Dorman
Doll Parts|Hole
Scatman (Ski-Ba-Bop-Ba-Dop-Bop)|Scatman John
Say My Name|Destiny's Child
United|Peaches & Herb
Alimony|Frankie Ford
Father Come On Home|Pacific Gas And Electric
Your Woman|White Town
Freedom For The Stallion|The Hues Corporation
Can You Do It|The Contours
Hi Hi Hazel|Gary And The Hornets
Little Honda|The Beach Boys
Cryin' In The Streets (Part 1)|George Perkins & The Silver Stars
Today's Teardrops|Rick Nelson
That's What Love Is For|Amy Grant
Lazy Day|Spanky And Our Gang
The Heartbreak Kid|Bo Donaldson And The Heywoods
Do It Again|The Kinks
Too Many Rules|Connie Francis
Man On The Moon|R.E.M.
Club At The End Of The Street|Elton John
My Shy Violet|The Mills Brothers
Woodstock|The Assembled Multitude
Without Love (There Is Nothing)|Oscar Toney  Jr.
Didn't I|Sylvia (r&b)
Home Tonight|Aerosmith
Security|Etta James
Four Little Diamonds|Electric Light Orchestra
It's Only Love|Elvis Presley
Have You Ever Seen The Rain/Hey Tonight|Creedence Clearwater Revival
Baja|The Astronauts
She Don't Look Back|Dan Fogelberg
Simple Song Of Freedom|Tim Hardin
Banzai Pipeline|Henry Mancini And His Orchestra
Why You Treat Me So Bad|Club Nouveau
Where Did I Go Wrong|Dee Dee Sharp
Lady Writer|Dire Straits
Little Miss Sad|The Five Emprees
Beg Me|Chuck Jackson
Malibu|Hole
Rosa Parks|OutKast
Where There's A Will There's A Way|Delaney & Bonnie
Walk On By|AWB
Follow Your Heart|The Manhattans
Turn The World Around|Eddy Arnold
Learn To Fly|Foo Fighters
Papa's Got A Brand New Bag (Part I)|James Brown And The Famous Flames
The Answer To A Maiden's Prayer|June Valli
Ball Of Fire|Tommy James And The Shondells
Here We Go Again|Nancy Sinatra
Who You Wit (From Sprung)|JAY-Z
How Glad I Am|Kiki Dee
The Tra La La Song (One Banana  Two Banana)|The Banana Splits
Soul Dance Number Three|Wilson Pickett
Love Is A 5-Letter Word|James Phelps
You're My Man|Lynn Anderson
Music  Music  Music|The Sensations Featuring Yvonne
I Get Off On It|Tony Joe White
Soul Train|Classics IV
Jealousy|The Adventures Of Stevie V
Aqua Boogie (A Psychoalphadiscobetabioaquadoloop)|Parliament
Theme From Harlow (Lonely Girl)|Bobby Vinton
Welcome To The Jungle|Guns N' Roses
Let Me Be The Clock|Smokey Robinson
Tears Are Falling|KISS
I Really Love You|The Stereos
Remedy|The Black Crowes
You Said A Bad Word|Joe Tex
Too Slow|The Impressions
Heart Be Still|Lorraine Ellison
I Take A Lot Of Pride In What I Am|Dean Martin
Wonderful World  Beautiful People|Jimmy Cliff
Sweet Rachel|Beau Coup
I Can't Go For That (No Can Do)|Daryl Hall John Oates
All Right|Christopher Cross
Promise Her Anything|Tom Jones
Santa Claus Is Watching You|Ray Stevens
Ms. Grace|The Tymes
I Can't Believe That You've Stopped Loving Me|Charley Pride
I'll Be Your Shelter (In Time Of Storm)|Luther Ingram
The Last Dance|The McGuire Sisters
I Don't Know|Ruth Brown
Rainbow|The Marmalade
Without You/Never Forget You|Mariah Carey
Talk To Me|Anita Baker
Little Deuce Coupe|The Beach Boys
Love Music|The Raiders
I Wanna Know If It's Good To You?|Funkadelic
Mercy  Mercy  Mercy|Cannonball Adderley
Sleepy Lagoon|The Platters
Hang 'Em High|Booker T. & The MG's
You Need Me  Baby|Joe Tex
Just As Much As Ever|Bobby Vinton
You're The One|The Vogues
Holdin' On To Yesterday|Ambrosia
Buying A Book|Joe Tex
From A Window|Billy J. Kramer With The Dakotas
Come Undone|Duran Duran
Deeper|Boss
Funny Little Butterflies|Patty Duke
Let's Do The Freddie|Chubby Checker
Respect|The Rationals
The Bird On My Head|David Seville
Same Old Look|Jimmy Ryser
Jesus Is Just Alright|The Byrds
Sherry|Robert John
Break Away|Art Garfunkel
I Lost My Baby|Joey Dee
Love Grows (Where My Rosemary Goes)|Edison Lighthouse
Break Ups 2 Make Ups|Method Man Featuring D'Angelo
Moondance|Van Morrison
Bless You|Martha Reeves & The Vandellas
Can't Wait All Night|Juice Newton
System Of Survival|Earth  Wind & Fire
Baby Jane|Rod Stewart
Do You Know The Way To San José|Dionne Warwick
I Want To Be Happy Cha Cha|The Tommy Dorsey Orchestra Starring Warren Covington
Here Comes The Sun|Richie Havens
There Ain't No Way|Lobo
Walk On Water|Eddie Money
You Threw A Lucky Punch|Gene Chandler
Put This Love To The Test|Jon Astley
Angel In My Pocket|One To One
Lodi|Al Wilson
Love Is The Key|Maze Featuring Frankie Beverly
Grazing In The Grass|Hugh Masekela
Seasons|Charles Fox
Fool Me|Joe South
Right Beside You|Sophie B. Hawkins
The Pain Gets A Little Deeper|Darrow Fletcher
Leave Virginia Alone|Rod Stewart
Anchorage|Michelle Shocked
I Think I Love You|The Partridge Family Starring Shirley Jones Featuring David Cassidy
Crackin Up|Bo Diddley
Let's Do Something Cheap And Superficial|Burt Reynolds
Morning Desire|Kenny Rogers
Charm The Snake|Christopher Cross
Macarena Christmas|Los Del Rio
Bimbombey|Jimmie Rodgers
Little Green Apples|Roger Miller
The Continental Walk|The Rollers
Mr. Skin|Spirit
Hot Water|Level 42
House Of The Rising Sun|Santa Esmeralda
Keep On Movin'|Soul II Soul (Featuring Caron Wheeler)
City In The Sky|The Staple Singers
Yellow Bird|The Mills Brothers
Hazard|Richard Marx
Mr. Lucky|Henry Mancini
The Colour Of My Love|Jefferson
Wasted Time|Skid Row
Better Place To Be (Parts 1 & 2)|Harry Chapin
Fool That I Am|Etta James
Please|Frank Ifield
Living Eyes|Bee Gees
In My House|Mary Jane Girls
I Believe In You|Stryper
Thank You Girl|The Beatles
Future Shock|Hello People
I Like Your Lovin' (Do You Like Mine)|The Chi-lites
You Have The Right To Remain Silent|Perfect Stranger
Something|The Beatles
Why Can't You Bring Me Home|Jay & The Americans
For Your Love|Ed Townsend
Didn't You Know (You'd Have To Cry Sometime)|Gladys Knight And The Pips
As Long As You Follow|Fleetwood Mac
Here To Love You|The Doobie Brothers
Tell It Like It Is|Aaron Neville
The Proud One|Frankie Valli
First Of May|Bee Gees
(Mama Come Quick  and Bring Your) Lickin' Stick|George Torrence & The Naturals
The Puzzle Song (A Puzzle In Song)|Shirley Ellis
One Boy  One Girl|Collin Raye
Love Is A Hurtin' Thing|Lou Rawls
Let's Go Trippin'|Dick Dale and The Del-Tones
Crawling Back|Roy Orbison
Sweet Child O' Mine|Guns N' Roses
Hot Stuff|Donna Summer
The Tear Of The Year|Jackie Wilson
Camel Back|A.B. Skhy
We Want The Funk|Gerardo
Sloop John B|The Beach Boys
Family Man|Daryl Hall John Oates
You're Nobody Till Somebody Loves You|The Wonder Who?
I Wish It Was Me|Tyrone Davis
Your Cheating Heart|Ray Charles
Shooting Shark|Blue Oyster Cult
Money (That's What I Want) (Part 1)|Jr. Walker & The All Stars
The Old Apartment|Barenaked Ladies
Funny How Time Flies|Intro
I Know What God Is|Perry Como
My Girl Josephine|Fats Domino
You Can|Madleen Kane
Wherever I Lay My Hat (That's My Home)|Paul Young
Ready For Your Love|Shep And The Limelites
Before You Go|Buck Owens
Black Byrd|Donald Byrd
Only You|Loleatta Holloway And Bunny Sigler
Old Spanish Town|The Bell Notes
For You|The Spellbinders
It's O.k.|The Beach Boys
He's Sure The Boy I Love|The Crystals
Don't Ask Me To Be Friends|The Everly Brothers
Fool Moon Fire|Walter Egan
Papa Was A Rollin' Stone|Wolf
Red Red Wine|Neil Diamond
Anywhere With You|Rubber Rodeo
The Race Is On|George Jones
Little Miss Sunshine|Tommy Roe
(She's A) Very Lovely Woman/The Long Way Around|Linda Ronstadt
Double Trouble|Lynyrd Skynyrd
Not So Sweet Martha Lorraine|Country Joe & The Fish
Reach Out And Touch (Somebody's Hand)|Diana Ross
Deep In The Heart Of Harlem|Clyde McPhatter
Long Live Our Love|The Shangri-Las
My Man|Barbra Streisand
A Woman's Hands|Joe Tex
Showdown|Electric Light Orchestra
Iron Man|Black Sabbath
James Dean|Eagles
Trouble|Nia Peeples
Locking Up My Heart|The Marvelettes
In The Misty Moonlight|Dean Martin
Where Are We Going|Bobby Bloom
(I've Got) Spring Fever|Little Willie John
It's Now Or Never|Elvis Presley With The Jordanaires
I Want To Break Free|Queen
Jive Talkin'|Bee Gees
Breaking Up Is Hard On You|The American Comedy Network
Alright|Kris Kross Featuring Supercat
Lonely Is The Name|Sammy Davis Jr.
Ain't Gonna Rest (Till I Get You)|The Five Stairsteps
Lost|Jerry Butler
Hello  Hello|Claudine Longet
Dance With Me|The Mojo Men
Slip-In Mules (No High Heel Sneakers)|Sugar Pie DeSanto
I Was Wondering|The Poppy Family
Buzz Buzz A-Diddle-It|Freddy Cannon
Perhaps Love|Placido Domingo & John Denver
Together Again|Bobby Sherman
I Send A Message|INXS
Born To Be With You|Sonny James
Housecall|Shabba Ranks (Featuring Maxi Priest)
You Stepped Into My Life|Wayne Newton
Better Than Me|Terry Dexter
Life Is A Rock (But The Radio Rolled Me)|Reunion
Tongue In Cheek|Sugarloaf
Too Hot|Coolio
If I Were A Carpenter|Johnny Cash & June Carter
I Got A Sure Thing|Ollie & The Nightingales
Boys Night Out|Timothy B. Schmit
Ooh Baby|Bo Diddley
Something Happened On The Way To Heaven|Phil Collins
D. W. Washburn|The Monkees
Only Women|Alice Cooper
Ice Cream Song|The Dynamics
Walk Right Up To The Sun|The Delfonics
Till Then|The Classics
Love Me For Life|Stevie B
Hard To Handle|Patti Drew
The Organ Grinder's Swing|Jimmy Smith With Kenny Burrell And Grady Tate
Black Cloud|Chubby Checker
My Best Friend's Wife|Paul Anka
A Million To One|Jimmy Charles and The Revelletts
4 - By The Beatles|The Beatles
Unborn Child|Seals & Crofts
Lovey Dovey|Otis & Carla
Who You Are|Pearl Jam
Bad Moon Rising|Creedence Clearwater Revival
Custom Machine|Bruce & Terry
Whatever Happened To Old Fashioned Love|B.J. Thomas
Nick Of Time|Bonnie Raitt
Slippin' & Slidin'|Willie Mitchell
They Don't Know|Tracey Ullman
Tears Run Rings|Marc Almond
I Want You To Know|The New Colony Six
Gas Money|Jan & Arnie
The One You Love|Glenn Frey
To Love Somebody|The Sweet Inspirations
Third Rate Romance|Amazing Rhythm Aces
Chocolate Chip|Isaac Hayes
(That's) What The Nitty Gritty Is|Shirley Ellis
In Thee|Blue Oyster Cult
Walk Away Renee|Southside Johnny & The Jukes
If Looks Could Kill|Player
Do I Do|Stevie Wonder
Rhythm Of My Heart|Rod Stewart
Foolin' Yourself|Aldo Nova
Another Way|Tevin Campbell
Magic Is The Night|Kathy Young With The Innocents
Crazy Love|CeCe Peniston
My First Day Without Her|Dennis Yost And The Classics IV
But It's Alright|Huey Lewis & The News
Bongo Rock|Preston Epps
I'm Going Down|Rose Royce
Life's What You Make It|Talk Talk
Soulshake|Peggy Scott & Jo Jo Benson
Alone Again Or|Love
Come What May|Clyde McPhatter
We Got The Winning Hand|Little Milton
Dirty Looks|Juice Newton
I'm A Man|Fabian
There's Got To Be A Word!|The Innocence
Any Day Now (My Wild Beautiful Bird)|Chuck Jackson
Hoop In Yo Face (From Sunset Park)|69 Boyz Featuring Quad City DJ's
Kick The Wall|Jimmy Davis & Junction
Gravy Waltz|Steve Allen
Popeye (The Hitchhiker)|Chubby Checker
Valerie|Cymarron
New Frontier|Donald Fagen
Fools Rush In|Rick Nelson
A Change Is Gonna Come & People Gotta Be Free/The Declaration|The 5th Dimension
How Long|Rod Stewart
Get Back|Roy Head
Get Up Offa That Thing|James Brown
Until Now|Bobby Arvon
Creeque Alley|The Mamas & The Papas
Southtown  U.S.A.|The Dixiebelles
Hung On You|The Righteous Brothers
Animal Instinct|Commodores
Vibin'|Boyz II Men
Sweetheart Like You|Bob Dylan
Come On Little Angel|The Belmonts
Sweet Young Thing Like You|Ray Charles
Soulville|Dinah Washington
Take Me For What I'm Worth|The Searchers
The Other Side Of This Life|Peter  Paul & Mary
Room At The Top|Adam Ant
Let's Have A Party|The Rivieras
Warmed Over Kisses (Left Over Love)|Brian Hyland
It'll Never Be Over For Me|Baby Washington
You Need Hands|Eydie Gorme
Livin' La Vida Loca|Ricky Martin
Diamond Ring|Jerry Wallace
How Do You Catch A Girl|Sam The Sham and the Pharaohs
Wild Thing|Senator Bobby Featuring Bill Minkin
